,line,label
24,A total of 240 eyes with mild to moderate open-angle glaucoma with intraocular pressure (IOP) ≤24 mmHg controlled on 1 to 3 medications were randomized to undergo cataract surgery with iStent implantation (treatment group) or cataract surgery only (control). Fifty additional subjects were enrolled to undergo cataract surgery with iStent implantation under protocol expansion. Data in this report are based on the first 240 eyes enrolled.,METHODS
25,8 hospitals and 5 PET-CT centers in academic institutions.,METHODS
26,To investigate the effect of the combination of oxycodone and dexmedetomidine for patient-controlled analgesia (PCA) after video-assisted thoracoscopic (VATS) lobectomy.,BACKGROUND&OBJECTIVE
27,To evaluate the effect of 4 weeks of pulmonary rehabilitation (PR) versus chest physical therapy (CPT) on the preoperative functional capacity and postoperative respiratory morbidity of patients undergoing lung cancer resection.,BACKGROUND&OBJECTIVE
28,"The primary outcome measure was treatment success in the study eye (unmedicated IOP of 6-16 mmHg inclusive), at the 6- and 12-month follow-up. Secondary outcome measures were the incidence of postoperative intervention with 5-fluorouracil (5-FU); incidence of surgical failure; time to surgical failure; and incidence of vascularity, microcysts, and encapsulation or demarcation of the bleb site.",METHODS
29,Patients were randomized to treatment with dorzolamide or placebo (the vehicle of dorzolamide).,METHODS
30,"Astigmatism and high astigmatism at each visit. Astigmatism was classified as with-the-rule (WTR; 75 degrees -105 degrees ), against-the-rule (ATR; 0 degrees -15 degrees and 165 degrees -180 degrees ), or oblique (OBL; 16 degrees -74 degrees and 106 degrees -164 degrees ).",METHODS
31,Patients were randomized equally into the PORT arm (n = 202) or the observation arm (n = 192). The total dose of PORT was 50 Gy.,METHODS
32,Change in visual field and any ocular or systemic complications.,METHODS
33,"Intraocular placement of a single Surodex is a safe and effective treatment method to reduce intraocular inflammation after cataract surgery. There was no statistical difference in efficacy between Surodex and 0.1% dexamethasone eyedrops in reducing intraocular inflammation, as measured by clinical methods, while Surodex was clearly superior to eyedrops in reducing aqueous flare as objectively assessed with the laser flare meter.",CONCLUSIONS
34,"Randomised, placebo-controlled.",METHODS
35,Development of advanced AMD. The unit of analyses used was by eye.,METHODS
36,The author(s) have no proprietary or commercial interest in any materials discussed in this article.,BACKGROUND&OBJECTIVE
37,"In this randomized clinical trial, integration of multidisciplinary GAIN significantly reduced grade 3 or higher chemotherapy-related toxic effects in older adults with cancer. Implementation of GAIN into oncology clinical practice should be considered among older adults receiving chemotherapy.",CONCLUSIONS
38,Latanoprost acid plasma exposure.,METHODS
39,"No significant differences in composite scores were observed between treatment groups, and no significant change in scores were seen over time. Mean (SD; range) values of clinical anchors at baseline were -16.6 (9.3; -32 to -0.5) dB for the surgical eye and 0.2 (0.3; -0.1 to 1.3) logMAR VA in the better-vision eye. For anchor-based cross-sectional analysis, composite score MID (95% CI) was 6.3 (4.6-7.9) for better-eye VA and 1.4 (0.9-1.9) for surgical eye MD. Distribution-based MID for the composite score was 6.0.",RESULTS
40,"Sufficient follow-up data were available from 24 of 25 patients in each of the two groups. The follow-up ranged from 12 to 28 months and was evaluated at 12 months for all patients. The mean IOP decreased from 27.3 to 15.5 mmHg in group 1 and from 29.0 to 17.5 mmHg in group 2. The average number of medications decreased from 2.3 and 2.4 to 0.9 and 0.8 (P = 0.68; t test) in groups 1 and 2, respectively, at the 12-month visit. Hypotony was more frequent in group 2, in which the only case of hypotony maculopathy occurred. There was a tendency of more eyes with lower IOP values in this group. The rate of loss of visual acuity of more than 2 lines was higher in group 2. Failures were more frequent in group 2 (7 of 24) compared with group 1 (1 of 24) (P = 0.04, chi-square test).",RESULTS
41,Use and effectiveness of nicotine patch were explored in a randomized trial evaluating smoking cessation interventions with this population.,BACKGROUND&OBJECTIVE
42,"For efficacy, the primary endpoint was the visual analog scale (VAS) scores for pain at rest and with coughing at week 2, and secondary endpoints were the VAS scores for pain and the neuropathic pain questionnaire at week 12. Fifty patients were randomized (25 per group). At week 2, the VAS scores for pain at rest (mean [SD]) were 29.5 (21.9) in the control group and 16.3 (15) in the pregabalin group (p = 0.02); for pain with coughing, the scores were 45.2 (20.9) and 28.8 (25.9), respectively (p = 0.02). VAS scores improved more in the pregabalin group than in the control group over the 12 weeks. Patients free from possible neuropathic pain were 48% of the control group and 88% of the pregabalin group, respectively (p = 0.001).",RESULTS
43,Low-dose (0.05 Unit/kg/hour) vs. Standard-dose (0.1 Unit/kg/hour) insulin infusion.,METHODS
44,setting: Two US clinical sites.,METHODS
45,"The primary outcome was incidence of grade 3 or higher chemotherapy-related toxic effects (graded using National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0). Secondary outcomes included advance directive completion, emergency department visits, unplanned hospitalizations, average length of stay, unplanned hospital readmissions, chemotherapy dose modifications, and early discontinuation. Overall survival analysis was performed up to 12 months after chemotherapy initiation.",METHODS
46,"Results from this large-scale, long-term trial suggest that alternate day use of low-dose aspirin (100 mg) for an average 10 years of treatment does not lower risk of total, breast, colorectal, or other site-specific cancers. A protective effect on lung cancer or a benefit of higher doses of aspirin cannot be ruled out.",CONCLUSIONS
47,"Despite few differences in clinician-reported toxic effects between treatment arms, QOL analysis demonstrated a clinically meaningful decline in QOL in the 74-Gy arm at 3 months, confirming the primary QOL hypothesis. Baseline QOL was an independent prognostic factor for survival.",CONCLUSIONS
48,"After GBE treatment, a significant improvement in visual fields indices was recorded: mean deviation (MD) at baseline versus MD after GBE treatment, 11.40 +/- 3.27 dB versus 8.78 +/- 2.56 dB (t = 8.86, P = 0.0001, chi-square test); corrected pattern standard deviation (CPSD) at baseline versus CPSD after GBE treatment, 10.93 +/- 2.12 dB versus 8.13 +/- 2.12 dB (t = 9.89, P = 0.0001, chi-square test). No significant changes were found in intraocular pressure, blood pressure, or heart rate after placebo or GBE treatment. Any ocular and systemic side effects were recorded for the duration of the trial.",RESULTS
49,"A total of 527 subjects were sequentially assigned, according to a computer-generated randomization list (2:1) to either bromfenac (n = 356) or placebo (n = 171). Potential subjects were excluded if using nonsteroidal anti-inflammatory drugs (NSAIDs), steroids, anticoagulants, or with uncontrolled ocular or systemic disease, preexisting ocular inflammation, surgical complications, or liver chemistry values of > or =Grade 1 according to World Health Organization Common Toxicity Criteria scoring.",METHODS
50,Randomized controlled clinical trial.,METHODS
51,A recent randomized radiation dose-escalation trial in unresectable stage III non-small-cell lung cancer (NSCLC) (Radiation Therapy Oncology Group [RTOG] 0617) showed a lower survival rate in the high-dose radiation therapy (RT) arm (74 Gy) than in the low-dose arm (60 Gy) with concurrent chemotherapy.,BACKGROUND&OBJECTIVE
52,"During a mean follow-up of 8.0 years, there were 1008 confirmed incident cases of prostate cancer and 1943 total cancers. Compared with placebo, vitamin E had no effect on the incidence of prostate cancer (active and placebo vitamin E groups, 9.1 and 9.5 events per 1000 person-years; hazard ratio [HR], 0.97; 95% confidence interval [CI], 0.85-1.09; P = .58) or total cancer (active and placebo vitamin E groups, 17.8 and 17.3 cases per 1000 person-years; HR, 1.04; 95% CI, 0.95-1.13; P = .41). There was also no significant effect of vitamin C on total cancer (active and placebo vitamin C groups, 17.6 and 17.5 events per 1000 person-years; HR, 1.01; 95% CI, 0.92-1.10; P = .86) or prostate cancer (active and placebo vitamin C groups, 9.4 and 9.2 cases per 1000 person-years; HR, 1.02; 95% CI, 0.90-1.15; P = .80). Neither vitamin E nor vitamin C had a significant effect on colorectal, lung, or other site-specific cancers. Adjustment for adherence and exclusion of the first 4 or 6 years of follow-up did not alter the results. Stratification by various cancer risk factors demonstrated no significant modification of the effect of vitamin E on prostate cancer risk or either agent on total cancer risk.",RESULTS
53,"At 1 year after combined surgery, mean (+/-SD) IOP and number of glaucoma medi- cation were 19.5+/-2.7 mmHg and 0.6+/-0.5 in the phaco-aspiration group, compared with 17.5+/-2.4 mmHg and 0.3+/-0.4 in the phaco-trab group. Hyphema (38%) and ocular hypotony (14%) were observed in the phaco-trab group only, whereas blood reflux (52%) and descemetolyses (23%) were seen exclusively in the phaco-aspiration group.",RESULTS
54,"Randomized, multicenter, controlled clinical trial.",METHODS
55,The proposed proprioceptive training did not lead to improvements in postural control in patients with type 2 diabetes with no clinical signs of diabetic distal polyneuropathy when analyzed using the BESTest clinical evaluation and a force plate.,CONCLUSIONS
56,"In the first protocol, IOP (mmHg +/- standard deviation) was significantly (P = 0.02) lower in the dorzolamide (16.3 +/- 2.6) than in the contralateral control (19.9 +/- 2.9) eyes. Aqueous humor formation (microliter/minute +/- standard deviation) also was lower (P = 0.02) in dorzolamide eyes (1.79 +/- 0.4 vs. 2.33 +/- 0.5). After oral acetazolamide 250 mg, IOP was unchanged in dorzolamide eyes (17.6 +/- 2.0 preacetazolamide vs. 17.9 +/- 2.0 postacetazolamide), whereas it was reduced (P = 0.003) in control eyes (20.5 +/- 2.2 preacetazolamide vs. 16.9 +/- 2.3 postacetazolamide). Aqueous humor formation was reduced in control eyes (2.31 +/- 0.8 preacetazolamide vs. 1.73 +/- 0.6 postacetazolamide; P = 0.005) but not in dorzolamide-treated eyes (1.56 +/- 0.45 preacetazolamide vs. 1.77 +/- 0.39 postacetazolamide). In the second protocol, acetazolamide 250 mg four times daily symmetrically reduced IOP and AHF in both eyes. After single-drop dorzolamide in one eye, IOP and AHF did not change significantly. After 4 to 7 days of acetazolamide and unilateral dorzolamide, IOP and AHF remained reduced to a similar level in dorzolamide and control eyes not receiving topical therapy.",RESULTS
57,To compare two different schedules of IFN combined with sorafenib.,BACKGROUND&OBJECTIVE
58,Adjunctive treatment with BBFC added to TRAV resulted in lower mean diurnal IOP after 6 weeks of treatment compared with vehicle added to TRAV; this difference was both statistically and clinically significant.,CONCLUSIONS
59,Surodex was inserted in the anterior chamber of 32 eyes at the conclusion of surgery. These eyes received placebo eyedrops four times a day after surgery for 4 weeks. Control eyes received neither Surodex nor a placebo implant but were prescribed conventional 0.1% dexamethasone eyedrops four times a day for 4 weeks.,METHODS
60,Automated perimetry and a daytime IOP curve were taken every second month during the 2-year follow-up.,METHODS
61,"Mean intraocular pressure (IOP), postoperative medications, visual acuity, filtering bleb appearance, and complications.",METHODS
62,Intraocular pressure (IOP) and requirement for topical glaucoma drugs.,METHODS
63,"Thoracic surgery for lung resection is associated with a high incidence of postoperative pulmonary complications. Controlled ventilation with a large tidal volume has been documented to be a risk factor for postoperative respiratory complications after major abdominal surgery, whereas the use of low tidal volumes and positive end-expiratory pressure (PEEP) has a protective effect.",BACKGROUND&OBJECTIVE
64,"Intraocular pressure profile, corneal clarity, symptoms, visual acuity, angle status by indentation gonioscopy, and complications of treatment.",METHODS
65,"The levels of GPIIb/IIIa, CD62P, and PAR were reduced markedly in group SEV during perioperative period compared with group ISO. In vitro, activated platelets contributed profoundly to the invasive ability of lung cancer cells. Sevoflurane, but not isoflurane, inhibited platelets-induced invasion of lung cancer cells. Furthermore, sevoflurane suppressed the platelets activity in vitro.",RESULTS
66,"Prospective, randomized, placebo-controlled, double-masked cross-over trial.",METHODS
67,"In frail older people, comprehensive vision and eye assessment, with appropriate treatment, does not reduce, and may even increase, the risk of falls and fractures.",CONCLUSIONS
68,To evaluate the effect of Ginkgo biloba extract (GBE) on preexisting visual field damage in patients with normal tension glaucoma (NTG).,BACKGROUND&OBJECTIVE
69,Six hundred sixteen men and women aged 70 and older (mean age 81) recruited mainly from people attending outpatient aged care services.,METHODS
70,"Double-masked, randomized clinical trial.",METHODS
71,It was registered in the Iranian Registry of Clinical Trials (IRCT2015021521095N1).,BACKGROUND&OBJECTIVE
72,Implantation of the iStent trabecular micro-bypass stent in conjunction with cataract surgery or cataract surgery only.,METHODS
73,The evidence for benefit of convalescent plasma for critically ill patients with COVID-19 is inconclusive.,BACKGROUND&OBJECTIVE
74,Participants were assigned randomly to one of two treatment groups.,METHODS
75,"The study met the primary outcome, with 72% of treatment eyes versus 50% of control eyes achieving the criterion (P<0.001). At 1 year, IOP in both treatment groups was statistically significantly lower from baseline values. Sixty-six percent of treatment eyes versus 48% of control eyes achieved ≥20% IOP reduction without medication (P = 0.003). The overall incidence of adverse events was similar between groups with no unanticipated adverse device effects.",RESULTS
76,Latanoprost and FC are equivalent to timolol regarding long-term corneal effects after 1 year of treatment.,CONCLUSIONS
77,"These data support use of the ATT sequence for all black patients. For white patients without life-threatening health problems, the data support use of the TAT sequence.",CONCLUSIONS
78,"In this phase 3 randomized clinical trial, ipilimumab added to nivolumab did not improve outcomes in patients with advanced, pretreated, immune checkpoint inhibitor-naive SqNSCLC.",CONCLUSIONS
79,"Overall, 69.0% of smokers reported using NRT (M = 3.2 weeks) at 12 weeks and 74.8% (M = 3.3 weeks) at 26 weeks. More smokers who were sent the free nicotine patches (n = 1695; 54.8%) reported using NRT than those who did not receive them (12 weeks: 84.3% vs 41.9%, P < .001; 26 weeks: 87.6% vs 51.1%, P < .001). The use of NRT was associated with greater smoking abstinence at 12 weeks (P < .001) and 26 weeks (P < .05), especially if used for more than 2 weeks (P < .001). Smokers assigned to a self-help booklet or cessation Web site and heavier smokers were most likely to use NRT (P < .05), whereas those reporting marijuana use and binge drinking used NRT less (P < .05).",RESULTS
80,The addition of brimonidine to a PGA provided greater IOP lowering than the addition of either dorzolamide or brinzolamide. Further studies are needed to evaluate the relative long-term efficacy and tolerability of these medications as adjunctive therapy to a PGA.,CONCLUSIONS
81,"Pressure reduction on fewer medications was clinically and statistically significantly better 1 year after stent plus cataract surgery versus cataract surgery alone, with an overall safety profile similar to that of cataract surgery alone.",CONCLUSIONS
82,"Randomized, multicenter, double-masked clinical trial.",METHODS
83,National Institutes of Health.,BACKGROUND&OBJECTIVE
84,ClinicalTrials.gov Identifier: NCT02186847.,BACKGROUND&OBJECTIVE
85,clinicaltrials.jp Identifiers: JAPIC111700 and JAPIC111701.,BACKGROUND&OBJECTIVE
86,The authors have no proprietary or commercial interest in any materials discussed in this article.,BACKGROUND&OBJECTIVE
87,"Central corneal thickness as measured by ultrasound pachymetry (DGH-500 Pachette; DGH Technologies, Exton, PA). The CCT measurements were obtained in the morning before measuring IOP. Five measurements were taken from each eye of each patient within 5 minutes of application of anesthetic eye drops.",METHODS
88,"To compare the intraocular pressure (IOP) lowering effect and safety of a new rigid, nonabsorbable polymethylmethacrylate implant (PMMA) with the commercially available cylindrical collagen implant used in deep sclerectomy procedure.",BACKGROUND&OBJECTIVE
89,3 annual rounds of LDCT screening.,METHODS
90,"Bimatoprost 0.03% once daily was safe and statistically superior to timolol 0.5% twice daily in lowering IOP in patients with ocular hypertension or glaucoma. Bimatoprost given once daily consistently provided IOP reductions approximately 2 to 3 mmHg greater than those provided by timolol. Once-daily dosing of bimatoprost, 0.03%, demonstrated greater IOP-lowering effect and better ocular tolerability than twice-daily dosing.",CONCLUSIONS
91,"Sixty eyes of 60 Asian patients undergoing extracapsular cataract extraction with intraocular lens implantation were examined. Of these, 28 eyes of 28 patients served as control eyes. Patients were stratified for age and presence of diabetes mellitus.",METHODS
92,"Randomized controlled trial conducted from November 2003 through May 2008 of 322 patients with advanced cancer in a rural, National Cancer Institute-designated comprehensive cancer center in New Hampshire and affiliated outreach clinics and a VA medical center in Vermont.",METHODS
93,clinicaltrials.gov Identifier: NCT01297517.,BACKGROUND&OBJECTIVE
94,"Patients were randomly assigned to one of the following two groups: oxycodone and dexmedetomidine (group OD) or oxycodone alone (group O). Before induction of anesthesia, patients in group OD received 0.5 μg/kg, dexmedetomidine diluted to 20 mL with physiologic saline and infused for 10 minutes intravenously. The PCA protocol was 50 mg of oxycodone and 0.05 μg/kg/h dexmedetomidine diluted to 100 mL. Patients in group O received 20 mL of physiologic saline infused for 10 minutes. Their PCA protocol consisted of 50 mg of oxycodone diluted to 100 mL. Intravenous PCA was used for postoperative analgesia (lasting for 48 h).",METHODS
95,"Four hundred eighty-three patients with glaucoma or ocular hypertension were enrolled. Of these, 463 were evaluated according to the protocol criteria (280 in the brimonidine tartrate group and 183 in the timolol group).",METHODS
96,Intraocular pressure (IOP) and side effects.,METHODS
97,Sixty patients with refractory glaucoma.,METHODS
98,Community- and university-based vitreoretinal practices.,METHODS
99,"ClinicalTrials.gov identifier NCT00732914, www.clinicaltrials.gov.",BACKGROUND&OBJECTIVE
100,"Intervention and control groups both participated every other week in one 45-min structured cardiovascular risk reduction educational session over the course of 1 year. During alternative weeks, sessions comprised blood pressure checks, coupled with individualized support discussions focused on challenges and identified obstacles to adherence. In addition to the aforementioned sessions, the intervention group participated in a novel gospel music program with weekly, 45-minute vocal and instrumental sessions.",METHODS
101,"Mean age for the 725 patients is 65 years, with 43% of patients in the study age 70 or older. Despite the older age of this population, more than half (53%) of the patients are male. One hundred and eighty-one patients were randomized into the nonperfused group and 155 into the macular edema group. Follow-up in the CVOS will be completed in February 1994 when most patients are expected to have completed the planned 3 years.",RESULTS
102,"The study occurred at Rodman Street Missionary Baptist Church (Pittsburgh, PA, USA).",METHODS
103,The findings of the current study concur with those of previous clinical studies of open-angle glaucoma that visual field defects are more severe in blacks than whites.,CONCLUSIONS
104,Subjects were randomized to undergo laser peripheral iridotomy (LPI) in one eye. Ultrasound biomicroscopy was performed before and a week after LPI.,METHODS
105,"In this randomized clinical trial, neither arm demonstrated evidence of superior safety, efficacy, or symptom burden; however, single-fraction SABR is more efficient to deliver. Therefore, single-fraction SABR, as assessed by the most acceptable outcome profile from all end points, could be chosen to escalate to future studies.",CONCLUSIONS
106,"Although further studies may need to confirm these data on a larger sample and to evaluate the side effect of increased iris pigmentation on long-term follow-up, in patients with pigmentary glaucoma, 0.005% latanoprost taken once daily was well tolerated and more effective in reducing IOP than 0.5% timolol taken twice daily.",CONCLUSIONS
107,Consecutive patients (aged≥20 years) who reported moderate-to-severe pain after effectual 2-day epidural analgesia post-thoracotomy for lung cancer from February 2012 to March 2013.,METHODS
108,"The primary outcome was 1-year progression-free survival (PFS), designed to detect 15% improvement in 1-year PFS from 50% to 65% (hazard ratio [HR], 0.622). Secondary end points included overall survival, time to local-regional recurrence, time to distant metastasis, and toxicity per Common Terminology Criteria for Adverse Events, version 4.03.",METHODS
109,"Double-masked, prospective, randomized, placebo-controlled clinical trial.",METHODS
110,"The addition of a gospel music program as a catalyst for increase engagement in a sustainable, healthy lifestyle program warrants further consideration and additional study in African American churches.",CONCLUSIONS
111,"In this randomized clinical trial, the addition of metformin to concurrent chemoradiation was well tolerated but did not improve survival among patients with unresectable stage III NSCLC.",CONCLUSIONS
112,"Incidence of posterior capsular opacification (PCO), best-corrected visual acuity (BCVA), intraocular pressure (IOP), number of pressure-lowering medications, and filtration success rates, defined as maintenance of target IOP while on one (criteria 1) or zero (criteria 2) pressure-lowering medications without further surgical intervention.",METHODS
113,"After a washout of ocular hypotensive therapy, the IOP-lowering effect of the dorzolamide-timolol combination was greater than that of either of its components administered as monotherapy. The combination is generally well-tolerated and provides a convenient alternative to concomitant therapy with its individual components.",CONCLUSIONS
114,Cataract surgery with or without primary IOL implantation. Contact lenses were used to correct aphakia in patients who did not receive IOLs. Treatment was determined through random assignment.,METHODS
115,Randomized clinical trial.,METHODS
116,"Patients underwent routine trabeculectomy. In group 1, mitomycin-C (0.05 mg/ml) was applied topically to the filtering bleb on days 1, 2, and 3 after surgery (postoperative application). In group 2, mitomycin-C (0.2 mg/ml) was applied by means of to a sponge during surgery (intraoperative application).",METHODS
117,Prospective randomized clinical trial.,METHODS
118,"36 ASA physical status 1 and 2 patients undergoing elective, video-assisted thoracic surgery for lung tumors.",METHODS
119,"Glycemic parameters, serum VCAM-1 and lipid profile, UACR, and anthropometric indexes were measured for all patients at baseline and the end of the study.",METHODS
120,Intraoperative complications occurred in seven patients (7%) in the tube group and 10 patients (10%) in the trabeculectomy group (P = .59). Postoperative complications developed in 36 patients (34%) in the tube group and 60 patients (57%) in the trabeculectomy group during the first year of follow-up (P = .001). Surgical complications were associated with reoperation and/or loss of > or =2 lines of Snellen visual acuity in 18 patients (17%) in the tube group and 28 patients (27%) in the trabeculectomy group (P = .12).,RESULTS
121,The primary outcome was the change in cardiorespiratory fitness measured by the V̇O,METHODS
122,The authors investigated the incidence of capsular opacification requiring YAG capsulotomy after primary trabeculectomy combined with phacoemulsification and implantation of all polymethylmethacrylate intraocular lenses.,BACKGROUND&OBJECTIVE
123,"Thirty-three acute PACG eyes of 32 patients were randomized to receive immediate ALPI, whereas 40 acute PACG eyes of 32 patients had conventional systemic medical therapy. Both treatment groups were matched for age, duration of attack, and IOP at presentation. The ALPI-treated group had lower IOP levels than the medically treated group at 15 minutes, 30 minutes, and 1 hour after the start of treatment. The differences were statistically significant. The difference in IOP levels became statistically insignificant from 2 hours onward. The duration of attack did not affect the efficacy of ALPI in reducing IOP in acute PACG. No serious laser complications occurred, at least in the early postlaser period.",RESULTS
124,"One IOP measurement was made while patients were receiving their usual medications to lower IOP, and 3 IOP measurements were made at 8 am, 12 pm, and 4 pm after patients underwent washout of all IOP-lowering eyedrops.",METHODS
125,A single center trial in a comprehensive tertiary hospital from January 2017 to January 2019.,METHODS
126,To establish the efficacy and safety of simultaneous subconjunctival and subscleral application of mitomycin-C in trabeculectomy.,BACKGROUND&OBJECTIVE
127,"At 36 months, data were available for 81 participants with CRVO and 128 with BRVO.",METHODS
128,"Randomized, single-blind controlled trial.",METHODS
129,A total of 56 eyes of 41 patients with open-angle glaucoma or ocular hypertension were entered in the study; 46 eyes of 41 patients were eventually used for the final analysis.,METHODS
130,To assess the long-term effect on mortality of a randomly applied smoking cessation program.,BACKGROUND&OBJECTIVE
131,To assess the intraocular pressure (IOP)-lowering effects and safety of a carteolol/latanoprost fixed combination drug (OPC-1085EL) vs latanoprost (Study 1) and carteolol (Study 2) in patients with primary open-angle glaucoma (POAG) or ocular hypertension (OH).,BACKGROUND&OBJECTIVE
132,"All patients were followed up for 24 months. More postoperative complications occurred in the MT group during the 2-year follow-up. One month after surgery, IOP was 10 +/- 1.46 mmHg (range, 8-13) in the MT group and 12.12 +/- 1.63 mmHg (range, 8-14) in the AIGT group (Student's t test, P = 0.001). Three months after surgery, IOP was 11.5 +/- 1.59 mmHg (range, 8-14) and 12.75 +/- 1.57 mmHg (range, 10-16) in the MT and AIGT groups, respectively (Student's t test, P = 0.033). From the 6th to the 24th postoperative month, no statistically significant difference in IOP was found between the two groups. At the end of follow-up, 14 of 16 eyes (87.5%) of the AIGT group and 13 of the 16 eyes (81.25%) of the MT group showed an IOP < or = 14 mmHg.",RESULTS
133,"A hospital plus home exercise programme showed little benefit in unselected patients with NSCLC following surgery. Regardless of group allocation, the patients had recovered their pre-operative exercise tolerance levels by 4 weeks after surgery.",CONCLUSIONS
134,A total of 335 patients with bilateral ocular hypertension or open-angle glaucoma participated.,METHODS
